waga;kiedy;co 
1.80;(28.06);t
1.60;(30.06);t
2.00;(4.07);t
3.00;(11.07);t
0.5;(11.07);og
0.6;(12.07);og
0.5;(12.07);osz
2.25;(13.07);t
0.25;(13.07);f
1.20;(14.07);t
0.5;(14.07);og
0.15;(14.07);osz
2.00;(16.07);t
1.5;(16.07);og
0.20;(16.07);osz
0.20;(16.07);p
4.0;(16.07);c
1.0;(19.07);t
1.0;(19.07);og
0.4;(19.07);osz
0.5;(20.07);t
1.00;(20.07);og
0.65;(20.07);osz
1.0;(21.07);og
1.0;(21.07);osz
0.5;(21.07);t
1.5;(21.07);c
0.5;(24.07);t
3.0;(24.07);og
0.3;(24.07);osz
2.5;(28.07);og
0.5;(28.07);osz
0.5;(28.07);p
1.8;(31.07);og
1.0;(31.07);osz
2.5;(31.07);p 
0.1;(31.07);f
1.7;(2.08);og
0.4;(2.08);osz
2.5;(4.08);og
0.2;(4.08);osz
3.0;(4.08);p
0.25;(4.08);f
2.5;(4.08);c
0.5;(6.08);osz 
3.7;(6.08);og
0.2;(6.08);f
0.8;(7.08);og
1.0;(7.08);p
1.2;(7.08);c
0.5;(8.08);osz
2.0;(8.8);og
5.0;(8.08);p
1.3;(8.08);c
0.5;(10.08);og
2.5;(10.08);p
2.5;(12.08);og
0.5;(12.08);f
7.0;(12.08);p
2.0;(12.08);c
7.5;(15.08);p
1.5;(15.08);c
7.0;(15.08);og
2.5;(15.08);osz
0.75;(15.08);f
0.75;(18.08);og
0.75;(18.08);p
7.0;(19.08);p
2.7;(19.08);og
0.75;(19.08);f
1.0;(19.08);c
7.0;(22.08);p
3.15;(22.08);og
0.7;(22.08);osz
0.75;(22.08);f
1.8;(24.08);og
0.75;(25.08);c
0.5;(25.08);pap
0.75;(26.08);f
4.7;(26.08);p
1.2;(26.08);og
0.6;(26.08);osz
2.0;(29.08);c
1.3;(29.08);og
4.3;(29.08);p
0.15;(29.08);f
5.0;(31.08);p
0.5;(31.08);osz
0.3;(1.09);f
0.3;(1.09);c
0.3;(1.09);og
0.5;(1.09);pap
0.5;(4.09);pap
6.0;(4.09);p
3.8;(11.09);osz
4.0;(11.09);p
0.1;(11.09);f
0.5;(11.09);pap
10.50;(12.09);buraki
1.50;(12.09);marchew
0.50;(12.09);cukinia
0.30;(12.09);og
3.0;(12.09);dynia
0.25;(13.09);og
2.5;(14.09);p
0.35;(14.09);pap
1.0;(17.09);p
0.41;(17.09);osz
0.5;(20.09);pap
3.8;(20.09);p
0.25;(21.09);pap
2.25;(23.09);p
6.0;(23.09);marchew
0.6;(23.09);osz
14.0;(24.09);marchew
4.3;(24.09);buraki
0.35;(24.09);osz
0.6;(24.09);fasola_sz
2.0;(27.09);p
1.0;(30.09);p
0.3;(30.09);osz
5.0;(30.09);dynia
0.8;(3.10);fasola_sz
0.4;(3.10);p
0.4;(6.10);p
0.15;(6.10);osz
1.80;(7.10);p
1.50;(13.10);p
0.15;(13.10);osz
8.0;(14.10);buraki
8.0;(14.10);marchew
1.3;(18.10);p
0.25;(19.10);p
0.20;(21.10);p
0.50;(23.10);p
0.50;(26.10);p
0.25;(28.10);p
0.10;(31.10);p
0.75;(31.10);fasola_sz
1.0;(31.10);marchew
2.0;(31.10);buraki
0.75;(15.11);fasola_sz
