waga;kiedy;co 
5.25;(06.10);marchew
33.5;(06.10);burak
0.50;(08.10);pomidor
1.00;(08.10);fasola_sz
0.35;(10.10);papryka
0.15;(10.10);pomidor
4.00;(14.10);dynia
0.35;(14.10);papryka
1.60;(14.10);pomidor
0.35;(14.10);fasola_sz
0.40;(16.10);papryka
10.10;(18.10);burak
0.60;(18.10);pomidor
0.75;(18.10);dynia
4.50;(18.10);marchew
0.25;(20.10);pomidor
1.50;(20.10);papryka
0.15;(20.10);fasola_sz
0.25;(20.10);skorzonera
0.20;(23.10);pomidor
0.30;(23.10);papryka
0.60;(25.10);pomidor
0.70;(26.10);pomidor
0.60;(28.10);pomidor
0.60;(30.10);marchew
1.00;(31.10);pomidor
0.60;(07.11);pomidor
0.05;(08.11);marchew
0.10;(08.11);buraki
0.25;(08.11);fasola_sz
