waga;kiedy;co 
0.45;(08.06);ogorek_sz
0.15;(12.06);ogorek_sz
0.20;(17.06);ogorek
0.90;(17.06);ogorek
0.95;(18.06);ogorek
2.10;(20.06);ogorek
0.70;(20.06);truskawka
0.75;(23.06);truskawka
4.20;(23.06);ogorek
0.35;(23.06);ogorek_sz
0.20;(25.06);ogorek_sz
0.95;(25.06);ogorek
0.95;(26.06);ogorek
0.50;(26.06);truskawka
0.30;(27.06);truskawka
1.75;(27.06);ogorek
0.70;(27.06);ogorek_sz
1.20;(28.06);ogorek
3.30;(29.06);ogorek
0.15;(29.06);ogorek_sz
1.10;(29.06);cukinia
4.30;(03.07);ogorek
4.30;(03.07);cukinia
1.30;(04.07);cukinia
3.00;(04.07);ogorek
1.15;(06.07);cukinia
1.70;(06.07);ogorek
0.40;(06.07);truskawka
0.20;(06.07);fasola
0.20;(08.07);pomidory
0.50;(08.07);fasola
5.90;(08.07);ogorek
0.90;(08.07);ogorek_sz
0.25;(08.07);groszek
0.50;(08.07);truskawka
0.55;(10.07);truskawka
6.70;(10.07);ogorek
6.40;(10.07);cukinia
8.50;(12.07);ogorek
0.55;(12.07);ogorek_sz
0.20;(12.07);truskawka
2.90;(12.07);cukinia
0.35;(12.07);fasola
0.85;(14.07);fasola
2.75;(14.07);cukinia
3.00;(14.07);ogorek
0.55;(14.07);ogorek_sz
0.60;(14.07);czosnek
0.20;(14.07);pomidory
0.10;(15.07);pomidory
1.70;(15.07);ogorek
0.40;(15.07);ogorek_sz
1.10;(16.07);cukinia
2.50;(16.07);ogorek
0.25;(16.07);ogorek_sz
6.90;(18.07);ogorek
0.60;(18.07);ogorek_sz
5.30;(18.07);cukinia
1.40;(18.07);fasola
1.50;(18.07);pomidory
0.20;(18.07);papryka
1.75;(20.07);pomidory
6.80;(20.07);cukinia
4.10;(20.07);ogorek
## prognoza 2024: 225kg
4.40;(22.07);ogorek
0.90;(22.07);ogorek_sz
1.40;(22.07);pomidory
1.90;(22.07);cukinia
0.25;(22.07);papryka
0.35;(22.07);groszek
0.80;(22.07);fasola
## prognoza 2024: 280kg (50kg pomidory/6kg dynie/50kg buraki/marchew/15kg cukinia)
3.10;(24.07);ogorek
0.60;(24.07);ogorek_sz
2.25;(24.07);pomidory
0.50;(24.07);cukinia
0.15;(24.07);papryka
0.15;(24.07);groszek
0.40;(24.07);fasola
0.20;(25.07);pomidory
2.30;(26.07);ogorek
0.15;(26.07);ogorek_sz
2.30;(26.07);pomidory
3.10;(26.07);cukinia
0.15;(26.07);papryka
0.05;(26.07);groszek
1.20;(26.07);fasola
0.20;(27.07);pomidory
0.10;(28.07);pomidory
3.85;(29.07);ogorek
0.45;(29.07);ogorek_sz
5.95;(29.07);pomidory
2.55;(29.07);cukinia
1.10;(29.07);fasola
0.50;(29.07);marchew
0.40;(30.07);pomidory
0.65;(30.07);ogorek
0.15;(30.07);papryka
0.60;(31.07);ogorek
0.35;(31.07);ogorek_sz
0.60;(31.07);cukinia
4.20;(31.07);pomidory
0.50;(31.07);fasola
1.60;(31.07);dynia
1.50;(31.07);czosnek
## prognoza 1.08: 150 kg (realizacja: 167.00)
## prognoza 2024: 260kg (30kg pomidory+2kg dynie+50kg buraki/marchew+5kg cukinia+4 fasola+3 fasola_sz)
1.40;(02.08);fasola
3.80;(02.08);pomidory
1.40;(02.08);ogorek
0.20;(02.08);marchew
1.15;(02.08);cukinia
0.35;(02.08);papryka
0.20;(03.08);pomidory
0.25;(04.08);papryka
6.40;(04.08);pomidory
2.30;(04.08);cukinia
1.00;(04.08);ogorek
0.55;(04.08);fasola
1.00;(04.08);burak
0.25;(05.08);pomidory
9.00;(06.08);pomidory
0.95;(06.08);fasola
1.00;(06.08);ogorek
2.10;(06.08);cukinia
## realizacja: 200 kg (6/sierpnia)
## prognoza 2024 (pomidory): 70kg
## prognoza 2024: 295kg (30kg pomidory+2kg dynie+40kg buraki/marchew+5kg cukinia+4 fasola+4 fasola_sz/10kg papryka)
0.10;(06.08);pomidory
1.30;(07.08);pomidory
0.30;(07.08);ogorek
0.70;(07.08);ogorek_sz
0.50;(07.08);buraki
6.00;(08.08);pomidory
0.50;(08.08);marchew
0.90;(08.08);buraki
0.50;(08.08);fasola
0.65;(08.08);ogorek
2.30;(08.08);cukinia
0.25;(09.08);fasola
0.20;(09.08);pomidory
1.75;(11.08);pomidory
1.10;(11.08);ogorek
0.20;(12.08);pomidory
10.70;(12.08);pomidory
0.40;(12.08);ogorek
1.70;(12.08);cukinia
0.50;(12.08);papryka
0.40;(12.08);marchew
## prognoza 2024: 315 kg (20kg pomidory+3kg dynie+40kg buraki/marchew+3kg cukinia+4 fasola+4 fasola_sz/10kg papryka)
0.50;(14.08);papryka
0.85;(14.08);ogorek
0.85;(14.08);ogorek_sz
1.95;(14.08);fasola
0.80;(14.08);czosnek
3.00;(14.08);pomidory
0.10;(15.08);pomidory
## prognoza 2024: 320 kg (15kg pomidory+3kg dynie+40kg buraki/marchew+2kg cukinia+4 fasola+4 fasola_sz/10kg papryka)
13.70;(17.08);pomidory
1.00;(17.08);papryka
0.75;(17.08);ogorek
0.75;(17.08);ogorek_sz
0.60;(17.08);cukinia
1.40;(20.08);fasola
0.45;(20.08);ogorek
0.40;(20.08);papryka
0.25;(22.08);ogorek
0.50;(22.08);ogorek_sz
3.90;(23.08);cukinia
0.70;(23.08);papryka
0.85;(23.08);marchew
1.50;(23.08);buraki
26.10;(23.08);pomidory
## prognoza 2024: 360 kg (10kg pomidory+3kg dynie+40kg buraki/marchew+2kg cukinia+3 fasola+4 fasola_sz/10kg papryka)
## prognoza 2024: 120 kg (pomidory)
1.50;(25.08);fasola
0.20;(25.08);ogorek
0.50;(25.08);ogorek_sz
0.80;(25.08);cukinia
0.10;(25.08);papryka
0.25;(26.08);ogorek
0.25;(26.08);ogorek_sz
1.85;(26.08);papryka
0.65;(26.08);cukinia
3.50;(26.08);pomidory
2.00;(26.08);marchew
4.00;(26.08);buraki
## Przerwa wyjazd
